Vectorization_Method_and_lead,R_n,Accuracy,,,
Pers_Vec_Vectorization_V1,R3_w7,0.790639269,,,
Pers_Vec_Vectorization_V2,R3_w7,0.790639269,,,
Pers_Vec_Vectorization_V3,R3_w7,0.790639269,,,
Pers_Vec_Vectorization_V1_V2,R3_w7,0.790637695,,,
Pers_Vec_Vectorization_V1_V3,R3_w7,0.790637695,,,
Pers_Vec_Vectorization_V2_V3,R3_w7,0.790637695,,,
Pers_Vec_Vectorization_nooverlap_all,R3_w7,0.790635437,,,
Pers_Vec_Vectorization_nooverlap_V1,R3_w7,0.790639269,,,
Pers_Vec_Vectorization_nooverlap_V2,R3_w7,0.790639269,,,
Pers_Vec_Vectorization_nooverlap_V3,R3_w7,0.790639269,,,
Pers_Vec_Vectorization_nooverlap_V1_V2,R3_w7,0.790637695,,,
Pers_Vec_Vectorization_nooverlap_V1_V3,R3_w7,0.790637695,,,
Pers_Vec_Vectorization_nooverlap_V2_V3,R3_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_all,R3_w7,0.790635437,,,
Pers_Vec_Vectorization_nocount_V1,R3_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_V2,R3_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_V3,R3_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_V1_V2,R3_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_V1_V3,R3_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_V2_V3,R3_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_nooverlap_all,R3_w7,0.790635437,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1,R3_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2,R3_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_nooverlap_V3,R3_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R3_w7,0.778223902,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R3_w7,0.780982522,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R3_w7,0.790637695,,,
Pers_Vec_Vectorization_noarea_all,R3_w7,0.790635437,,,
Pers_Vec_Vectorization_noarea_V1,R3_w7,0.790639269,,,
Pers_Vec_Vectorization_noarea_V2,R3_w7,0.790639269,,,
Pers_Vec_Vectorization_noarea_V3,R3_w7,0.790639269,,,
Pers_Vec_Vectorization_noarea_V1_V2,R3_w7,0.790637695,,,
Pers_Vec_Vectorization_noarea_V1_V3,R3_w7,0.790637695,,,
Pers_Vec_Vectorization_noarea_V2_V3,R3_w7,0.790637695,,,
Betti_Vectorization_all_1,R4_w7,0.790635437,,,
Betti_Vectorization_all_5,R4_w7,0.790635437,,,
Betti_Vectorization_all_10,R4_w7,0.790635437,,,
Betti_Vectorization_all_100,R4_w7,0.790635437,,,
Betti_Vectorization_V1_1,R4_w7,0.790639269,,,
Betti_Vectorization_V1_5,R4_w7,0.790639269,,,
Betti_Vectorization_V1_10,R4_w7,0.790639269,,,
Betti_Vectorization_V1_100,R4_w7,0.790639269,,,
Betti_Vectorization_V2_1,R4_w7,0.790639269,,,
Betti_Vectorization_V2_5,R4_w7,0.790639269,,,
Betti_Vectorization_V2_10,R4_w7,0.790639269,,,
Betti_Vectorization_V2_100,R4_w7,0.790639269,,,
Betti_Vectorization_V3_1,R4_w7,0.790639269,,,
Betti_Vectorization_V3_5,R4_w7,0.790639269,,,
Betti_Vectorization_V3_10,R4_w7,0.790639269,,,
Betti_Vectorization_V3_100,R4_w7,0.790639269,,,
Betti_Vectorization_V1_V2_1,R4_w7,0.790637695,,,
Betti_Vectorization_V1_V2_5,R4_w7,0.790637695,,,
Betti_Vectorization_V1_V2_10,R4_w7,0.790637695,,,
Betti_Vectorization_V1_V2_100,R4_w7,0.790637695,,,
Betti_Vectorization_V1_V3_1,R4_w7,0.790637695,,,
Betti_Vectorization_V1_V3_5,R4_w7,0.792017005,,,
Betti_Vectorization_V1_V3_10,R4_w7,0.790637695,,,
Betti_Vectorization_V1_V3_100,R4_w7,0.790637695,,,
Betti_Vectorization_V2_V3_1,R4_w7,0.790637695,,,
Betti_Vectorization_V2_V3_5,R4_w7,0.790637695,,,
Betti_Vectorization_V2_V3_10,R4_w7,0.790637695,,,
Betti_Vectorization_V2_V3_100,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_all,R4_w7,0.790635437,,,
Pers_Vec_Vectorization_V1,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_V2,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_V3,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_V1_V2,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_V1_V3,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_V2_V3,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nooverlap_all,R4_w7,0.790635437,,,
Pers_Vec_Vectorization_nooverlap_V1,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_nooverlap_V2,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_nooverlap_V3,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_nooverlap_V1_V2,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nooverlap_V1_V3,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nooverlap_V2_V3,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_all,R4_w7,0.790635437,,,
Pers_Vec_Vectorization_nocount_V1,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_V2,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_V3,R4_w7,0.793417047,,,
Pers_Vec_Vectorization_nocount_V1_V2,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_V1_V3,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_V2_V3,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_nooverlap_all,R4_w7,0.790635437,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_nooverlap_V3,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R4_w7,0.793396316,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_noarea_all,R4_w7,0.790635437,,,
Pers_Vec_Vectorization_noarea_V1,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_noarea_V2,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_noarea_V3,R4_w7,0.790639269,,,
Pers_Vec_Vectorization_noarea_V1_V2,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_noarea_V1_V3,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_noarea_V2_V3,R4_w7,0.790637695,,,
